50,"Variable containing:
1.00000e-02 *
  1.1617
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
51,"Variable containing:
1.00000e-02 *
  1.1525
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
52,"Variable containing:
1.00000e-02 *
  1.1879
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
53,"Variable containing:
1.00000e-02 *
  1.1372
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
54,"Variable containing:
1.00000e-02 *
  1.1677
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
55,"Variable containing:
1.00000e-02 *
  1.1506
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
56,"Variable containing:
1.00000e-02 *
  1.1310
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
57,"Variable containing:
1.00000e-02 *
  1.1191
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
58,"Variable containing:
1.00000e-02 *
  1.1780
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
59,"Variable containing:
1.00000e-02 *
  1.1178
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
60,"Variable containing:
1.00000e-02 *
  1.1462
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
61,"Variable containing:
1.00000e-02 *
  1.1178
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
62,"Variable containing:
1.00000e-02 *
  1.1163
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
63,"Variable containing:
1.00000e-02 *
  1.0934
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
64,"Variable containing:
1.00000e-02 *
  1.1002
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
65,"Variable containing:
1.00000e-02 *
  1.1121
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
66,"Variable containing:
1.00000e-02 *
  1.0943
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
67,"Variable containing:
1.00000e-02 *
  1.0978
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
68,"Variable containing:
1.00000e-02 *
  1.0750
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
69,"Variable containing:
1.00000e-02 *
  1.0796
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
70,"Variable containing:
1.00000e-02 *
  1.0854
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
71,"Variable containing:
1.00000e-02 *
  1.0814
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
72,"Variable containing:
1.00000e-02 *
  1.0516
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
73,"Variable containing:
1.00000e-02 *
  1.0705
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
74,"Variable containing:
1.00000e-02 *
  1.0513
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
75,"Variable containing:
1.00000e-02 *
  1.0863
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
76,"Variable containing:
1.00000e-02 *
  1.0598
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
77,"Variable containing:
1.00000e-02 *
  1.0423
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
78,"Variable containing:
1.00000e-02 *
  1.0545
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
79,"Variable containing:
1.00000e-02 *
  1.0312
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
80,"Variable containing:
1.00000e-02 *
  1.0529
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
81,"Variable containing:
1.00000e-02 *
  1.0675
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
82,"Variable containing:
1.00000e-02 *
  1.0593
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
83,"Variable containing:
1.00000e-02 *
  1.0503
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
84,"Variable containing:
1.00000e-02 *
  1.0120
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
85,"Variable containing:
1.00000e-02 *
  1.0177
[torch.cuda.FloatTensor of size 1 (GPU 0)]
"
